id,target
0,7.6902347
5,7.8156567
15,7.631769
16,7.4657817
17,7.211692
19,7.2773886
20,7.263273
21,7.8040357
23,7.2527704
29,7.3893275
31,7.3769274
32,7.390584
33,7.4895434
34,7.717817
35,7.9463553
37,7.4727807
38,7.2811565
39,7.635307
40,7.3492846
44,7.3159842
49,7.860809
53,7.70102
56,7.4703455
60,7.7444043
61,7.102946
63,6.6137652
64,7.859763
66,7.077861
70,7.522427
71,7.088809
72,7.321151
75,7.6843863
76,7.5423465
78,7.479004
85,7.375482
86,7.0294375
89,7.5519857
90,7.371243
92,7.660421
93,7.254719
94,7.641575
100,7.6414757
101,7.5179954
102,7.4580836
105,7.0101852
106,7.442282
107,7.2477307
108,7.807393
109,7.8047833
112,7.502445
113,7.793416
116,7.6104765
117,7.3245053
118,7.5526586
120,7.5619874
129,7.113138
130,7.3753405
132,7.440867
133,7.895076
134,7.662095
136,7.296087
137,7.7275167
141,7.204169
142,7.5549273
152,7.6730604
154,7.7364564
156,7.2511706
160,7.341995
161,7.2118998
166,7.325834
170,7.5212593
173,7.3759627
174,7.701492
175,7.5461473
179,7.5989776
182,7.3401566
186,7.1268554
188,7.50659
189,7.273399
191,7.9783897
193,7.3520546
194,7.505705
195,7.5932946
196,7.8533998
197,7.6314807
199,7.610203
200,7.20474
202,7.094376
203,7.7359447
204,7.2650685
206,7.7510867
207,7.3711267
212,7.5333858
217,7.7095976
218,7.6709948
220,7.2764325
224,7.4787526
225,7.4312887
229,7.4835806
230,7.618958
234,7.4394283
235,7.4371505
238,7.6471252
239,7.896765
241,7.4447193
243,7.2271247
245,7.235754
247,7.565528
251,7.5345435
252,7.0459743
253,7.4906077
255,7.5850916
256,7.272434
258,7.80184
259,7.3896065
260,7.225775
263,7.422445
264,7.328635
266,7.247423
267,7.164137
268,7.2391148
270,7.273443
273,7.5018086
274,7.431933
275,8.503918
276,7.3774505
277,7.726808
281,7.485429
282,7.4914436
285,7.5457253
292,7.397011
293,7.270911
295,7.779037
298,7.308638
299,7.5771756
300,7.7048326
301,7.4888997
302,7.476499
309,7.6971884
311,7.61029
316,7.3651004
317,7.240369
319,7.826654
321,6.855873
322,7.8074474
324,7.611824
328,7.884648
329,8.024048
331,6.946138
334,7.3963346
337,7.137553
338,7.2279663
340,7.295876
344,7.7073483
349,7.941731
350,7.561266
351,7.3984084
354,7.669558
356,7.6139083
358,7.3244786
361,7.548476
364,7.6214786
365,7.2700434
370,7.797431
372,7.110016
374,7.3094354
375,7.3211794
376,7.4960527
379,7.349949
380,7.646457
382,7.473336
383,7.507069
385,7.1628094
389,7.043163
392,7.1191854
394,7.657745
395,7.706493
398,7.5322733
400,7.582315
402,7.610711
403,6.8166194
406,8.188495
410,8.049632
412,7.5435076
413,7.4840026
417,7.554488
418,8.016469
419,7.126074
420,6.985642
423,7.1968217
424,7.661364
426,7.7908382
427,7.5234213
432,8.194639
434,7.4209394
438,7.186643
441,7.246962
443,7.100965
448,7.062526
449,7.5490994
451,7.31278
452,7.414029
457,7.625446
458,7.980019
459,7.5033274
464,7.6185784
465,7.599072
467,7.6337457
471,7.3204393
472,7.451341
477,7.5617642
478,7.4273443
480,7.273877
483,7.524876
487,6.963006
489,7.636266
491,7.682251
492,7.3208437
496,7.466442
500,7.4103513
501,7.4310637
502,7.672045
503,7.5472355
505,7.470335
506,7.29233
514,7.510871
517,7.448949
519,7.098155
522,7.2436805
523,7.6853437
528,7.7884703
530,6.9080987
532,6.565802
535,7.1913795
538,7.1802187
542,7.109813
546,7.4138865
548,7.3914647
550,7.9770417
555,7.816585
557,7.639757
559,7.6367855
560,6.8540626
562,7.404416
566,6.9353695
567,7.3807344
569,7.155
571,8.32406
572,7.1679482
574,7.3994265
577,7.4596806
581,7.426551
583,7.4380918
587,6.7380204
590,6.9435334
592,7.4942575
593,7.900985
608,7.4499817
612,7.0213795
614,7.712348
616,7.5454717
617,7.3951526
625,7.1457376
626,7.7319384
631,7.471673
633,7.417193
636,7.7492537
639,7.154288
641,6.8359895
642,7.7678895
644,8.026221
645,7.8366137
646,7.4025292
647,7.561773
649,7.2609043
650,7.337246
651,7.2830157
653,7.3323374
655,7.5592537
656,7.42774
662,7.575215
669,7.443955
670,7.6345897
673,7.8097377
674,7.4034033
675,7.0640745
685,7.1012177
688,8.028323
689,6.882736
690,7.46738
691,7.2565656
696,7.14959
698,7.607475
700,7.21837
701,7.369716
702,7.6720448
703,7.285211
704,7.467621
706,7.360234
708,7.423743
716,7.4579663
717,7.5900903
718,7.451961
719,7.5453343
720,7.2565384
721,7.9170995
723,6.7898116
725,7.6355634
726,6.5618763
728,7.2774
730,7.386941
731,7.4950213
734,7.057377
736,7.7227674
739,7.3822966
743,7.0490284
747,7.1769567
749,7.526474
752,7.128312
759,7.711785
763,7.4606304
764,7.2109694
765,7.179827
766,7.7098584
769,7.199997
776,7.6155424
778,7.043817
783,7.261141
784,7.200217
787,7.392753
791,7.4366426
792,7.6789293
796,7.7899704
799,7.0890474
800,7.5556617
